"","rating","position","summary","good","challenges"
0,2.0,"Executive","Overload work with limited manpower.","flexible working hour","too much pressure and overload work with limited resources"
1,4.0,"Engineer","It was great experience starting as fresh graduate by gaining tremendous knowledge and skills.","Very supportive superior who guides well and give opportunity to perform and show skills","Competitive and economy challenge for the company"
2,3.0,"Production Engineer","Good to build up professionalism in workplace","Great bonus during covid, free gym, good for fresh graduate to pick up fast paced working environment","Micromanagement from higher ups"
3,3.0,"Logistic officer","A lot of experienced achieved during my internship period","The discipline and healthty lifestyle practiced by the company","Any mistakes by human error and the encironment during my internship period since virus covid-19 in 2020"
4,3.0,"Process engineer","Good stepping stone for fresh grads","-Good stepping stone for fresh grads -High salary -Able to learn a lot -Friendly colleagues","-Not enough manpower -Business direction is doubtful -Need to take on multiple roles -Massive turnover"
5,3.0,"Technical support","Fun and positive enviroment","Gain knowladge and experience","Gain knowladge and experience"
6,4.0,"Executive","It's been a great pleasure to work at this company","Can choose to work flexible after 6 month staff confirmations.","Employee turn over rate are happens monthly. Company should manage employee benefits in a proper way, not bias, listen & understand employee needs."
7,4.0,"Operation assistant","More things to do and I will do my best","Good friend and team work is very good and its nice the have a good experience","U need to learn many thing and new techniques but a bit stress because everything need to be fast"
8,4.0,"Purchaser","Good Team and nice boss","Manager is very talented and kindness","Negotiations because lack and shortage materials"
9,4.0,"Account clerk","I am happy to work here","I be a responsible worker","I willing to work here"
10,5.0,"Manager","A company that encourage the staff to be multitasking and encouraging for making wise decision","I'm able to enhance multitasking","Operation team has to be on call 24 hours"
11,4.0,"Account Executive","submission report by timeline basic","Always encourage all staff to stay in 5 well and team work together in order to improve our self","need hand on to do, to teach to learn"
12,5.0,"Building maintenance","learn something new and got so many experience","short hours,work by report and nice environment","need coverage all thing and got so hard responsible"
13,2.0,"IT","things to ponder when working here, toxic environment is subjective","colleagues that really understand the feeling being stressed in work","Owner as a Chairman not a good combination. until this changes, company would not be able to grow further.."
14,5.0,"Senior process engineer","Best place to work and gain experience in manufacturing industry","Good for career enhancement","High workload but it is bearable"
15,4.0,"Production planner","A fantastic work place","Superior is willing teach, Learnt a lot and gain experience vey fast","work load is hight, but can learnt a lot."
16,5.0,"executive safety & health","multitask working environment","can gain more knowledge for experience","learn faster & improve faster"
17,5.0,"Trainee engineer","good place to start your early career","competitive paid salary good environment healthy working surrounding","high intensity job can be demanding."
18,4.0,"Marketing executive","Top Glove is a good start for our career.","Top Glove is a good start for fresh graduate or people who would like to learn more on international biz.","Overload with too many things as the company culture is to become hands on. However, the OIC unable to 100% focus on their main task."
